city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,WKT
Casablanca,Casablanca,33.5333,-7.5833,Morocco,MA,MAR,Casablanca-Settat,admin,3499000,1504175315,POINT (-7.5833 33.5333)
Fès,Fes,34.0433,-5.0033,Morocco,MA,MAR,Fès-Meknès,admin,1112072,1504861997,POINT (-5.0033 34.0433)
Marrakech,Marrakech,31.63,-8.0089,Morocco,MA,MAR,Marrakech-Safi,admin,966987,1504172585,POINT (-8.0089 31.63)
Tangier,Tangier,35.7767,-5.8039,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,admin,947952,1504861504,POINT (-5.8039 35.7767)
Sale,Sale,34.0333,-6.8,Morocco,MA,MAR,Rabat-Salé-Kénitra,,850403,1504989034,POINT (-6.8 34.0333)
Rabat,Rabat,34.0209,-6.8416,Morocco,MA,MAR,Rabat-Salé-Kénitra,primary,572717,1504023252,POINT (-6.8416 34.0209)
Meknès,Meknes,33.895,-5.5547,Morocco,MA,MAR,Fès-Meknès,,520428,1504333193,POINT (-5.5547 33.895)
Oujda-Angad,Oujda-Angad,34.6867,-1.9114,Morocco,MA,MAR,Oriental,admin,494252,1504891036,POINT (-1.9114 34.6867)
Kenitra,Kenitra,34.25,-6.5833,Morocco,MA,MAR,Rabat-Salé-Kénitra,,431282,1504534876,POINT (-6.5833 34.25)
Agadir,Agadir,30.4333,-9.6,Morocco,MA,MAR,Souss-Massa,admin,421844,1504116858,POINT (-9.6 30.4333)
Tétouan,Tetouan,35.5667,-5.3667,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,380787,1504709141,POINT (-5.3667 35.5667)
Taourirt,Taourirt,34.4169,-2.885,Morocco,MA,MAR,Oriental,,321876,1504648957,POINT (-2.885 34.4169)
Temara,Temara,33.9267,-6.9122,Morocco,MA,MAR,Rabat-Salé-Kénitra,,313510,1504016606,POINT (-6.9122 33.9267)
Safi,Safi,32.2833,-9.2333,Morocco,MA,MAR,Marrakech-Safi,,308508,1504000717,POINT (-9.2333 32.2833)
Khénifra,Khenifra,32.9394,-5.6675,Morocco,MA,MAR,Béni Mellal-Khénifra,,228567,1504143530,POINT (-5.6675 32.9394)
El Jadid,El Jadid,33.2333,-8.5,Morocco,MA,MAR,Casablanca-Settat,,220181,1504964063,POINT (-8.5 33.2333)
Laâyoune,Laayoune,27.1536,-13.2033,Morocco,MA,MAR,Laâyoune-Sakia El Hamra,,217732,1504000319,POINT (-13.2033 27.1536)
Mohammedia,Mohammedia,33.6833,-7.3833,Morocco,MA,MAR,Casablanca-Settat,,208612,1504542634,POINT (-7.3833 33.6833)
Kouribga,Kouribga,32.8833,-6.9167,Morocco,MA,MAR,Béni Mellal-Khénifra,,196196,1504325928,POINT (-6.9167 32.8833)
Béni Mellal,Beni Mellal,32.3394,-6.3608,Morocco,MA,MAR,Béni Mellal-Khénifra,admin,192676,1504131639,POINT (-6.3608 32.3394)
Ait Melloul,Ait Melloul,30.3342,-9.4972,Morocco,MA,MAR,Souss-Massa,,171847,1504134516,POINT (-9.4972 30.3342)
Nador,Nador,35.1667,-2.9333,Morocco,MA,MAR,Oriental,,161726,1504811178,POINT (-2.9333 35.1667)
Taza,Taza,34.2167,-4.0167,Morocco,MA,MAR,Fès-Meknès,,148456,1504405154,POINT (-4.0167 34.2167)
Settat,Settat,33.0,-7.6167,Morocco,MA,MAR,Casablanca-Settat,,142250,1504720478,POINT (-7.6167 33)
Barrechid,Barrechid,33.2667,-7.5833,Morocco,MA,MAR,Casablanca-Settat,,136634,1504194885,POINT (-7.5833 33.2667)
Al Khmissat,Al Khmissat,33.8167,-6.0667,Morocco,MA,MAR,Rabat-Salé-Kénitra,,131542,1504079907,POINT (-6.0667 33.8167)
Inezgane,Inezgane,30.3658,-9.5381,Morocco,MA,MAR,Souss-Massa,,130333,1504786674,POINT (-9.5381 30.3658)
Ksar El Kebir,Ksar El Kebir,35.009,-5.9,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,126617,1504230428,POINT (-5.9 35.009)
My Drarga,My Drarga,30.38,-9.48,Morocco,MA,MAR,Souss-Massa,,126512,1504399163,POINT (-9.48 30.38)
Larache,Larache,35.1833,-6.15,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,125008,1504637172,POINT (-6.15 35.1833)
Guelmim,Guelmim,28.9833,-10.0667,Morocco,MA,MAR,Guelmim-Oued Noun,admin,118318,1504110861,POINT (-10.0667 28.9833)
Berkane,Berkane,34.9167,-2.3167,Morocco,MA,MAR,Oriental,,109237,1504282363,POINT (-2.3167 34.9167)
Ad Dakhla,Ad Dakhla,23.7081,-15.9456,Morocco,MA,MAR,Dakhla-Oued Ed-Dahab,,106277,1504999983,POINT (-15.9456 23.7081)
Bouskoura,Bouskoura,33.4489,-7.6486,Morocco,MA,MAR,Casablanca-Settat,,103026,1504503306,POINT (-7.6486 33.4489)
Al Fqih Ben Çalah,Al Fqih Ben Calah,32.5,-6.5333,Morocco,MA,MAR,Béni Mellal-Khénifra,,102019,1504975687,POINT (-6.5333 32.5)
Oued Zem,Oued Zem,32.8667,-6.5667,Morocco,MA,MAR,Béni Mellal-Khénifra,,95267,1504098746,POINT (-6.5667 32.8667)
Sidi Slimane,Sidi Slimane,34.26,-5.92,Morocco,MA,MAR,Rabat-Salé-Kénitra,,92989,1504101128,POINT (-5.92 34.26)
Errachidia,Errachidia,31.9319,-4.4244,Morocco,MA,MAR,Drâa-Tafilalet,admin,92374,1504005759,POINT (-4.4244 31.9319)
Guercif,Guercif,34.2333,-3.3667,Morocco,MA,MAR,Oriental,,90880,1504842310,POINT (-3.3667 34.2333)
Oulad Teïma,Oulad Teima,30.4,-9.2167,Morocco,MA,MAR,Souss-Massa,,89387,1504278611,POINT (-9.2167 30.4)
Ben Guerir,Ben Guerir,32.23,-7.95,Morocco,MA,MAR,Marrakech-Safi,,88626,1504909564,POINT (-7.95 32.23)
Wislane,Wislane,30.225,-8.3801,Morocco,MA,MAR,Souss-Massa,,87910,1504929490,POINT (-8.3801 30.225)
Tiflet,Tiflet,33.8931,-6.3069,Morocco,MA,MAR,Rabat-Salé-Kénitra,,86709,1504661999,POINT (-6.3069 33.8931)
Lqoliaa,Lqoliaa,30.2908,-9.4661,Morocco,MA,MAR,Souss-Massa,,83235,1504675410,POINT (-9.4661 30.2908)
Taroudannt,Taroudannt,30.471,-8.8806,Morocco,MA,MAR,Souss-Massa,,80149,1504415764,POINT (-8.8806 30.471)
Sefrou,Sefrou,33.83,-4.83,Morocco,MA,MAR,Fès-Meknès,,79887,1504820285,POINT (-4.83 33.83)
Essaouira,Essaouira,31.5131,-9.7697,Morocco,MA,MAR,Marrakech-Safi,,77966,1504845522,POINT (-9.7697 31.5131)
Fnidq,Fnidq,35.85,-5.35,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,77436,1504670555,POINT (-5.35 35.85)
Ait Ali,Ait Ali,30.1765,-9.4886,Morocco,MA,MAR,Souss-Massa,,76646,1504009062,POINT (-9.4886 30.1765)
Sidi Qacem,Sidi Qacem,34.2167,-5.7,Morocco,MA,MAR,Rabat-Salé-Kénitra,,75672,1504300626,POINT (-5.7 34.2167)
Tiznit,Tiznit,29.7167,-9.7167,Morocco,MA,MAR,Souss-Massa,,74699,1504399838,POINT (-9.7167 29.7167)
Moulay Abdallah,Moulay Abdallah,33.1978,-8.5883,Morocco,MA,MAR,Casablanca-Settat,,74671,1504563452,POINT (-8.5883 33.1978)
Tan-Tan,Tan-Tan,28.4333,-11.1,Morocco,MA,MAR,Guelmim-Oued Noun,,73209,1504164174,POINT (-11.1 28.4333)
Warzat,Warzat,30.9167,-6.9167,Morocco,MA,MAR,Drâa-Tafilalet,,71067,1504381507,POINT (-6.9167 30.9167)
Youssoufia,Youssoufia,32.25,-8.5333,Morocco,MA,MAR,Marrakech-Safi,,67628,1504459034,POINT (-8.5333 32.25)
Sa’ada,Sa'ada,31.621,-8.1303,Morocco,MA,MAR,Marrakech-Safi,,67086,1504926324,POINT (-8.1303 31.621)
Martil,Martil,35.6167,-5.2667,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,64355,1504341023,POINT (-5.2667 35.6167)
Aïn Harrouda,Ain Harrouda,33.6372,-7.4483,Morocco,MA,MAR,Casablanca-Settat,,62420,1504718611,POINT (-7.4483 33.6372)
Souq Sebt Oulad Nemma,Souq Sebt Oulad Nemma,32.2948,-6.7007,Morocco,MA,MAR,Béni Mellal-Khénifra,,60076,1504194496,POINT (-6.7007 32.2948)
Skhirate,Skhirate,33.85,-7.03,Morocco,MA,MAR,Rabat-Salé-Kénitra,,59775,1504664899,POINT (-7.03 33.85)
